order_id,customer_id,product_id,order_date,promised_delivery_date,actual_delivery_date,order_status,order_quantity,fulfilled_quantity,delay_days
1479,2439,3472,5/19/2021,7/24/2021,2/5/2021,Pending,449,413,8
1834,2460,3096,9/30/2021,5/1/2021,9/26/2021,In-Transit,100,40,19
1085,2999,3415,4/18/2021,10/16/2021,11/10/2021,Pending,347,123,7
1809,2767,3121,8/23/2021,5/7/2021,3/19/2021,Delivered,435,156,15
1431,2478,3250,9/24/2021,2/7/2021,5/30/2021,Canceled,159,273,16
1053,2252,3283,3/1/2021,7/15/2021,7/13/2021,Canceled,460,184,3
1943,2582,3152,4/17/2021,12/20/2021,3/20/2021,In-Transit,336,392,20
1818,2980,3005,4/28/2021,3/27/2021,12/10/2021,Canceled,390,208,18
1191,2460,3023,10/23/2021,2/19/2021,12/13/2021,In-Transit,419,113,12
1145,2531,3433,12/28/2021,7/25/2021,1/14/2021,In-Transit,431,385,1
1085,2140,3406,1/3/2021,2/20/2021,11/3/2021,Canceled,340,165,15
1872,2440,3105,3/3/2021,3/12/2021,3/22/2021,In-Transit,407,197,-4
1767,2699,3224,2/4/2021,7/13/2021,9/18/2021,Pending,127,417,10
1814,2589,3453,1/14/2021,3/15/2021,8/22/2021,Pending,57,441,6
1494,2345,3296,10/23/2021,4/2/2021,11/11/2021,Pending,331,279,11
1613,2578,3303,9/12/2021,2/16/2021,5/20/2021,Delivered,491,429,-4
1374,2749,3478,1/9/2021,5/2/2021,2/16/2021,Canceled,490,240,0
1917,2975,3042,7/16/2021,8/28/2021,6/26/2021,Delivered,372,402,8
1323,2595,3058,7/31/2021,6/16/2021,9/12/2021,Canceled,448,194,-2
1579,2337,3139,8/12/2021,3/5/2021,5/28/2021,Delivered,115,226,4
1634,2122,3143,2/13/2021,10/31/2021,3/9/2021,Pending,105,408,9
1758,2789,3030,6/20/2021,3/10/2021,5/26/2021,Delivered,267,412,8
1528,2624,3034,9/10/2021,5/4/2021,7/18/2021,Canceled,494,99,9
1967,2220,3151,5/21/2021,3/14/2021,2/3/2021,Pending,13,22,7
1941,2842,3138,11/5/2021,1/6/2021,8/21/2021,Pending,362,310,-4
1207,2495,3270,10/18/2021,3/17/2021,1/27/2021,Pending,116,87,8
1930,2479,3076,11/9/2021,11/9/2021,3/23/2021,Canceled,87,67,11
1043,2038,3127,4/3/2021,3/22/2021,2/14/2021,Delivered,227,226,10
1909,2107,3156,11/7/2021,8/22/2021,2/17/2021,Canceled,53,182,3
1913,2709,3114,5/14/2021,5/28/2021,8/18/2021,Delivered,303,307,4
1729,2847,3126,10/8/2021,2/25/2021,8/15/2021,Pending,172,468,9
1122,2878,3329,1/2/2021,1/5/2021,11/18/2021,Pending,263,168,12
1389,2271,3475,2/21/2021,4/16/2021,2/10/2021,In-Transit,55,262,-3
1835,2509,3011,4/21/2021,10/16/2021,6/20/2021,In-Transit,128,470,20
1564,2061,3410,7/3/2021,5/17/2021,10/27/2021,Canceled,114,144,12
1216,2860,3273,6/1/2021,11/1/2021,4/21/2021,Canceled,383,298,19
1842,2276,3058,9/18/2021,3/27/2021,4/19/2021,Delivered,61,92,13
1351,2661,3212,10/4/2021,8/5/2021,11/5/2021,Canceled,411,56,4
1507,2105,3373,3/7/2021,3/20/2021,1/4/2021,Delivered,417,152,-1
1800,2488,3307,4/25/2021,2/21/2021,10/2/2021,In-Transit,237,450,13
1825,2055,3479,7/20/2021,12/14/2021,12/12/2021,In-Transit,142,279,20
1876,2424,3045,12/5/2021,1/24/2021,4/26/2021,Pending,64,66,19
